# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 10K of event 'cpu-clock:ppp'
# Event count (approx.): 2639250000
#
# Overhead  Command          Shared Object              Symbol
# ........  ...............  .........................  ...................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.10%  countwords_par_  countwords_par_proftools   [.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_assign(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
     0.10%  countwords_par_  libicui18n.so.72.1         [.] icu_72::OlsonTimeZone::clearTransitionRules()
     0.10%  countwords_par_  libicui18n.so.72.1         [.] icu_72::OlsonTimeZone::operator=(icu_72::OlsonTimeZone const&)
     0.10%  countwords_par_  libicuuc.so.72.1           [.] icu_72::Locale::Locale(char const*, char const*, char const*, char const*)
     0.10%  countwords_par_  libicuuc.so.72.1           [.] icu_72::Locale::Locale(icu_72::Locale const&)
     0.10%  countwords_par_  libicuuc.so.72.1           [.] icu_72::UnifiedCache::_poll(icu_72::CacheKeyBase const&, icu_72::SharedObject const*&, UErrorCode&) const
     0.10%  countwords_par_  libicuuc.so.72.1           [.] uloc_getCountry_72
     0.09%  countwords_par_  [kernel.kallsyms]          [k] filemap_read
     0.09%  countwords_par_  libc.so.6                  [.] __GI___libc_open
     0.09%  countwords_par_  libicui18n.so.72.1         [.] icu_72::GregorianCalendar::~GregorianCalendar()
     0.09%  countwords_par_  libicui18n.so.72.1         [.] icu_72::number::NumberFormatter::with()
     0.09%  countwords_par_  libicui18n.so.72.1         [.] icu_72::number::Scale::~Scale()
     0.09%  countwords_par_  libicui18n.so.72.1         [.] icu_72::number::impl::SymbolsWrapper::doMoveFrom(icu_72::number::impl::SymbolsWrapper&&)
     0.09%  countwords_par_  libicuuc.so.72.1           [.] T_CString_integerToString_72
     0.09%  countwords_par_  libicuuc.so.72.1           [.] u_terminateUChars_72
     0.09%  countwords_par_  libstdc++.so.6.0.32        [.] std::locale::operator=(std::locale const&)
     0.09%  countwords_par_  [kernel.kallsyms]          [k] filemap_get_read_batch
     0.09%  countwords_par_  [kernel.kallsyms]          [k] link_path_walk.part.0.constprop.0
     0.09%  countwords_par_  libicui18n.so.72.1         [.] icu_72::Calendar::createInstance(icu_72::TimeZone*, icu_72::Locale const&, UErrorCode&)
     0.09%  countwords_par_  libicui18n.so.72.1         [.] icu_72::CurrencyUnit::~CurrencyUnit()
     0.09%  countwords_par_  libicui18n.so.72.1         [.] icu_72::number::impl::Grouper::forProperties(icu_72::number::impl::DecimalFormatProperties const&)
     0.09%  countwords_par_  libicui18n.so.72.1         [.] icu_72::number::impl::resolveCurrency(icu_72::number::impl::DecimalFormatProperties const&, icu_72::Locale const&, UErrorCode&)
     0.09%  countwords_par_  libicuuc.so.72.1           [.] icu_72::UMemory::operator delete[](void*)
     0.09%  countwords_par_  libicuuc.so.72.1           [.] res_findResource_72
