# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 16K of event 'cpu-clock:ppp'
# Event count (approx.): 4119250000
#
# Overhead  Command          Shared Object                       Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
# ........  ...............  ..................................  .......................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.08%  countwords_par_  libicuuc.so.72.1                    [.] uprv_strnicmp_72
     0.08%  countwords_par_  libicuuc.so.72.1                    [.] 0x000000000012fccd
     0.08%  countwords_par_  [kernel.kallsyms]                   [k] filemap_get_read_batch
     0.08%  countwords_par_  [kernel.kallsyms]                   [k] link_path_walk.part.0.constprop.0
     0.08%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::CurrencyUnit::operator=(icu_72::CurrencyUnit const&)
     0.08%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::Locale::~Locale()@plt
     0.08%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::UMemory::operator delete[](void*)@plt
     0.08%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::number::IntegerWidth::IntegerWidth(short, short, bool)
     0.08%  countwords_par_  libicui18n.so.72.1                  [.] 0x0000000000151afb
     0.08%  countwords_par_  libicuuc.so.72.1                    [.] icu_72::UnifiedCache::_get(icu_72::CacheKeyBase const&, icu_72::SharedObject const*&, void const*, UErrorCode&) const
     0.08%  countwords_par_  libicuuc.so.72.1                    [.] u_terminateChars_72
     0.07%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::Calendar::operator=(icu_72::Calendar const&)
     0.07%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::MeasureUnit::MeasureUnit(icu_72::MeasureUnit&&)
     0.07%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::number::impl::StringProp::StringProp(icu_72::number::impl::StringProp&&)
     0.07%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::number::impl::resolveCurrency(icu_72::number::impl::DecimalFormatProperties const&, icu_72::Locale const&, UErrorCode&)
     0.07%  countwords_par_  libicuuc.so.72.1                    [.] res_findResource_72
     0.07%  countwords_par_  libicuuc.so.72.1                    [.] u_terminateUChars_72
     0.07%  countwords_par_  [kernel.kallsyms]                   [k] copy_from_kernel_nofault_allowed
     0.07%  countwords_par_  [kernel.kallsyms]                   [k] kmem_cache_free
     0.07%  countwords_par_  [kernel.kallsyms]                   [k] step_into
     0.07%  countwords_par_  libc.so.6                           [.] __sched_yield
     0.07%  countwords_par_  libc.so.6                           [.] read
     0.07%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::Calendar::setTimeInMillis(double, UErrorCode&)
     0.07%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::number::impl::PropertiesAffixPatternProvider::hasCurrencySign() const
     0.07%  countwords_par_  libicuuc.so.72.1                    [.] icu_72::LocaleBased::setLocaleIDs(char const*, char const*)
     0.07%  countwords_par_  libicuuc.so.72.1                    [.] icu_72::UnifiedCache::getInstance(UErrorCode&)
     0.07%  countwords_par_  libicuuc.so.72.1                    [.] uhash_find_72
     0.07%  countwords_par_  libstdc++.so.6.0.32                 [.] std::locale::operator=(std::locale const&)
     0.06%  countwords_par_  [vdso]                              [.] __vdso_gettimeofday
     0.06%  countwords_par_  [vdso]                              [.] 0x000000000000086c
     0.06%  countwords_par_  libc.so.6                           [.] __GI___libc_open
     0.06%  countwords_par_  libc.so.6                           [.] getenv
     0.06%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::MeasureUnit::MeasureUnit(icu_72::MeasureUnit const&)
     0.06%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::SimpleDateFormat::initialize(icu_72::Locale const&, UErrorCode&)
     0.06%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::SimpleTimeZone::operator=(icu_72::SimpleTimeZone const&)
     0.06%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::number::impl::DecimalFormatProperties::equalsDefaultExceptFastFormat() const
     0.06%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::number::impl::StringProp::operator=(icu_72::number::impl::StringProp const&)
     0.06%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::number::impl::SymbolsWrapper::doCopyFrom(icu_72::number::impl::SymbolsWrapper const&)
     0.06%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::number::impl::SymbolsWrapper::doMoveFrom(icu_72::number::impl::SymbolsWrapper&&)
     0.06%  countwords_par_  libicui18n.so.72.1                  [.] 0x000000000016069c
     0.06%  countwords_par_  libicuuc.so.72.1                    [.] icu_72::Locale::operator==(icu_72::Locale const&) const
     0.06%  countwords_par_  libicuuc.so.72.1                    [.] icu_72::UnicodeString::allocate(int)
     0.06%  countwords_par_  libicuuc.so.72.1                    [.] icu_72::UnicodeString::operator=(icu_72::UnicodeString const&)
     0.06%  countwords_par_  libicuuc.so.72.1                    [.] ures_getSize_72
     0.06%  countwords_par_  libicuuc.so.72.1                    [.] 0x0000000000135791
     0.05%  countwords_par_  [kernel.kallsyms]                   [k] __fget_light
     0.05%  countwords_par_  [kernel.kallsyms]                   [k] cache_from_obj
     0.05%  countwords_par_  [kernel.kallsyms]                   [k] do_sched_yield
     0.05%  countwords_par_  [kernel.kallsyms]                   [k] filemap_read
     0.05%  countwords_par_  [kernel.kallsyms]                   [k] prepend_path
     0.05%  countwords_par_  countwords_par_tbb                  [.] tbb::detail::d1::segment_table<std::atomic<tbb::detail::d1::list_node<unsigned long>*>, tbb::detail::d1::tbb_allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, unsigned long> >, tbb::detail::d1::concurrent_unordered_base<tbb::detail::d1::concurrent_unordered_map_traits<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, unsigned long, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, tbb::detail::d1::tbb_allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, unsigned long> >, false> >::unordered_segment_table, 63ul>::clear()
     0.05%  countwords_par_  libc.so.6                           [.] __mbrtowc
     0.05%  countwords_par_  libc.so.6                           [.] __mktime_internal
     0.05%  countwords_par_  libicui18n.so.72.1                  [.] __dynamic_cast@plt
     0.05%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::Calendar::createInstance(icu_72::TimeZone*, icu_72::Locale const&, UErrorCode&)
     0.05%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::DecimalFormat::setParseIntegerOnly(signed char)
     0.05%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::number::LocalizedNumberFormatter::getDecimalFormatSymbols() const
     0.05%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::number::impl::Grouper::forProperties(icu_72::number::impl::DecimalFormatProperties const&)
     0.05%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::number::impl::StringProp::StringProp(icu_72::number::impl::StringProp const&)
     0.05%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::number::impl::SymbolsWrapper::getDecimalFormatSymbols() const
     0.05%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::number::impl::SymbolsWrapper::operator=(icu_72::number::impl::SymbolsWrapper&&)
     0.05%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::number::impl::SymbolsWrapper::~SymbolsWrapper()
     0.05%  countwords_par_  libicui18n.so.72.1                  [.] 0x0000000000112d30
     0.05%  countwords_par_  libicui18n.so.72.1                  [.] 0x00000000001613f0
     0.05%  countwords_par_  libicuuc.so.72.1                    [.] icu_72::CacheKeyBase::~CacheKeyBase()
     0.05%  countwords_par_  libicuuc.so.72.1                    [.] icu_72::UnicodeString::UnicodeString(int, int, int)
     0.05%  countwords_par_  libicuuc.so.72.1                    [.] icu_72::UnifiedCache::_fetch(UHashElement const*, icu_72::SharedObject const*&, UErrorCode&) const
